t	Y(t)	Z(t)	y(t)	z(t)
0.45	0	0	0.0012	125
1.075	0.00181	90	0.00155	43
1.7	0	672	0.00201	56
2.325	0	0	0.00261	74
2.95	0.00941	605	0.00339	97
3.575	0.04001	0	0.00443	128
4.2	0	1433	0.00582	170
4.825	0.02431	0	0.00769	229
5.45	0.08781	426	0.01025	311
6.075	0.07279	498	0.01382	431
6.7	0.12194	2343	0.0189	608
7.325	0.01386	1841	0.02631	880
7.95	0.0697	2661	0.03743	1309
8.575	0.00625	2667	0.05449	1989
9.2	0.13356	1292	0.08063	3030
9.825	0.05957	2410	0.11873	4426
10.45	0.15531	6607	0.16878	5898
11.075	0.30362	7281	0.2285	7208
11.7	0.38146	7432	0.30003	8796
12.325	0.31201	11819	0.39718	11874
12.95	0.55595	16823	0.53674	16856
13.575	0.55925	16282	0.66262	16370
14.2	0.64874	10132	0.71396	9470
14.825	0.7351	3839	0.71677	4768
15.45	0.6709	1360	0.69659	2406
16.075	0.66292	2151	0.66606	1208
16.7	0.5822	1097	0.63149	599
17.325	0.56958	0	0.59609	296
17.95	0.55606	0	0.56141	148
18.575	0.50045	0	0.52814	76
19.2	0.59477	75	0.49654	41
19.825	0.43169	234	0.46667	23
20.45	0.43291	0	0.43853	13
21.075	0.44275	756	0.41204	8
21.7	0.3606	0	0.38713	5
22.325	0.34996	0	0.36371	3
22.95	0.26594	1353	0.3417	2
23.575	0.40326	0	0.32101	1
24.2	0.3304	308	0.30158	1
24.825	0.43726	1107	0.28332	1
25.45	0.25976	0	0.26616	0
26.075	0.16972	201	0.25004	0
26.7	0.19708	0	0.2349	0
27.325	0.18834	0	0.22067	0
27.95	0.29166	871	0.2073	0
28.575	0.19435	1462	0.19475	0
29.2	0.18682	0	0.18295	0
29.825	0.24802	532	0.17187	0
30.45	0.10959	0	0.16146	0
31.075	0.1079	0	0.15168	0
31.7	0.1888	1887	0.14249	0
32.325	0.06393	556	0.13386	0
32.95	0.09322	0	0.12575	0
33.575	0.08851	0	0.11813	0
34.2	0.1134	0	0.11097	0
34.825	0.11777	0	0.10425	0
35.45	0.08599	0	0.09794	0
36.075	0.06316	746	0.092	0
36.7	0.11148	0	0.08643	0
37.325	0.08616	742	0.08119	0
37.95	0	537	0.07627	0
38.575	0.03852	563	0.07165	0
39.2	0.02915	0	0.06731	0
39.825	0	47	0.06324	0
40.45	0.07239	0	0.0594	0
41.075	0.08774	0	0.05581	0
41.7	0.04912	0	0.05242	0
42.325	0.01666	46	0.04925	0
42.95	0.00324	0	0.04627	0
43.575	0.09378	0	0.04346	0
44.2	0.08261	0	0.04083	0
44.825	0.06485	1424	0.03836	0
45.45	0	0	0.03603	0
46.075	0.0627	0	0.03385	0
46.7	0.05036	0	0.0318	0
47.325	0.0342	0	0.02987	0
47.95	0.08645	251	0.02806	0
48.575	0.04324	0	0.02636	0
49.2	0.00038	0	0.02476	0
49.825	0.04299	0	0.02326	0
50.45	0.03634	2050	0.02186	0
51.075	0.06409	0	0.02053	0
51.7	0.07935	0	0.01929	0
52.325	0	0	0.01812	0
52.95	0	0	0.01702	0
53.575	0.01691	1656	0.01599	0
54.2	0.03137	0	0.01502	0
54.825	0.05558	0	0.01411	0
55.45	0.02504	761	0.01326	0
56.075	0	1130	0.01245	0
56.7	0.02862	0	0.0117	0
57.325	0.04263	2243	0.01099	0
57.95	0.01942	245	0.01032	0
58.575	0	0	0.0097	0
59.2	0.05063	0	0.00911	0
59.825	0.01214	0	0.00856	0
60.45	0.03199	329	0.00804	0
61.075	0.05943	0	0.00755	0
61.7	0	0	0.0071	0
62.325	0	372	0.00667	0
