I	beta(I)
0.0	0.5
0.001	0.5079
0.002	0.5157
0.003	0.5234
0.004	0.5309
0.005	0.5383
0.006	0.5456
0.007	0.5527
0.008	0.5597
0.009	0.5666
0.01	0.5734
0.011	0.58
0.012	0.5865
0.013	0.5929
0.014	0.5992
0.015	0.6053
0.016	0.6114
0.017	0.6173
0.018	0.6231
0.019	0.6288
0.02	0.6343
0.021	0.6398
0.022	0.6452
0.023	0.6504
0.024	0.6556
0.025	0.6606
0.026	0.6655
0.027	0.6704
0.028	0.6751
0.029	0.6797
0.03	0.6842
0.031	0.6886
0.032	0.693
0.033	0.6972
0.034	0.7013
0.035	0.7054
0.036	0.7093
0.037	0.7132
0.038	0.7169
0.039	0.7206
0.04	0.7242
0.041	0.7277
0.042	0.7311
0.043	0.7344
0.044	0.7377
0.045	0.7408
0.046	0.7439
0.047	0.7469
0.048	0.7498
0.049	0.7526
0.05	0.7554
0.051	0.7581
0.052	0.7607
0.053	0.7632
0.054	0.7657
0.055	0.7681
0.056	0.7704
0.057	0.7726
0.058	0.7748
0.059	0.7769
0.06	0.7789
0.061	0.7809
0.062	0.7828
0.063	0.7846
0.064	0.7864
0.065	0.7881
0.066	0.7897
0.067	0.7913
0.068	0.7929
0.069	0.7943
0.07	0.7957
0.071	0.7971
0.072	0.7984
0.073	0.7996
0.074	0.8008
0.075	0.802
0.076	0.803
0.077	0.8041
0.078	0.805
0.079	0.806
0.08	0.8068
0.081	0.8077
0.082	0.8085
0.083	0.8092
0.084	0.8099
0.085	0.8105
0.086	0.8111
0.087	0.8117
0.088	0.8122
0.089	0.8127
0.09	0.8131
0.091	0.8135
0.092	0.8138
0.093	0.8142
0.094	0.8144
0.095	0.8147
0.096	0.8149
0.097	0.815
0.098	0.8152
0.099	0.8153
0.1	0.8153
0.101	0.8154
0.102	0.8154
0.103	0.8153
0.104	0.8153
0.105	0.8152
0.106	0.8151
0.107	0.8149
0.108	0.8147
0.109	0.8145
0.11	0.8143
0.111	0.8141
0.112	0.8138
0.113	0.8135
0.114	0.8132
0.115	0.8128
0.116	0.8124
0.117	0.8121
0.118	0.8116
0.119	0.8112
0.12	0.8108
0.121	0.8103
0.122	0.8098
0.123	0.8093
