t	Y(t)	Z(t)
50	0.001	20
550	0.003	46
1050	0.007	89
1550	0.015	146
2050	0.027	242
2550	0.046	349
3050	0.072	534
3550	0.111	845
4050	0.172	1052
4550	0.24	1243
5050	0.319	1356
5550	0.398	1253
6050	0.455	989
6550	0.475	673
7050	0.466	422
7550	0.429	249
8050	0.383	141
8550	0.336	100
9050	0.293	56
9550	0.256	32
10050	0.218	23
10550	0.187	15
11050	0.163	9
11550	0.139	6
12050	0.118	2
12550	0.099	3
13050	0.081	2
13550	0.069	2
14050	0.058	1
14550	0.051	0
15050	0.044	0
15550	0.038	0
16050	0.033	0
16550	0.028	0
17050	0.025	1
17550	0.021	0
18050	0.018	0
18550	0.015	0
19050	0.012	0
19550	0.01	0
