t	Y(t)	Z(t)
50	0.002	47
550	0.005	68
1050	0.01	110
1550	0.018	156
2050	0.026	230
2550	0.041	362
3050	0.064	549
3550	0.099	732
4050	0.145	1089
4550	0.211	1299
5050	0.288	1491
5550	0.366	1340
6050	0.432	1060
6550	0.453	658
7050	0.441	316
7550	0.403	167
8050	0.355	77
8550	0.312	34
9050	0.269	26
9550	0.233	10
10050	0.2	7
10550	0.172	4
11050	0.15	4
11550	0.13	1
12050	0.113	0
12550	0.097	0
13050	0.083	1
13550	0.073	0
14050	0.064	0
14550	0.056	0
15050	0.048	0
15550	0.042	0
16050	0.036	0
16550	0.03	0
17050	0.026	0
17550	0.023	0
18050	0.021	0
18550	0.019	0
19050	0.016	0
19550	0.014	0
